00:00:00:00:00:00	Officially Xerox
00:00:47:00:00:00	NICOLET INSTRUMENTS CORP.
00:00:48:00:00:00	Epson
00:00:49:00:00:00	Apricot Ltd.
00:00:4A:00:00:00	ADC CODENOLL TECHNOLOGY CORP.
00:00:4B:00:00:00	APT
00:00:4C:00:00:00	NEC Corporation
00:00:4D:00:00:00	DCI CORPORATION
00:00:4E:00:00:00	AMPEX CORPORATION
00:00:4F:00:00:00	Logicraft 386-Ware P.C. Emulator
00:00:50:00:00:00	RADISYS CORPORATION
00:00:51:00:00:00	Hob Electronic Gmbh & Co. KG
00:00:52:00:00:00	Optical Data Systems
00:00:53:00:00:00	COMPUCORP
00:00:54:00:00:00	Schneider Electric
00:00:55:00:00:00	AT&T
00:00:56:00:00:00	DR. B. STRUCK
00:00:57:00:00:00	SCITEX CORPORATION LTD.
00:00:58:00:00:00	Racore Computer Products Inc
00:00:59:00:00:00	Hellige GMBH
00:00:5A:00:00:00	Schneider & Koch / Syskonnect
00:00:5B:00:00:00	Eltec
00:00:5C:00:00:00	TELEMATICS INTERNATIONAL INC.
00:00:5D:00:00:00	Rce
00:00:5E:00:00:00	U.S. Department of Defense (IANA)
00:00:5F:00:00:00	Sumitomo
00:00:60:00:00:00	KONTRON ELEKTRONIK GMBH
00:00:61:00:00:00	Gateway Communications
00:00:62:00:00:00	Honeywell
00:00:63:00:00:00	HP
00:00:64:00:00:00	Yokogawa Digital Computer Corp
00:00:65:00:00:00	Network General
00:00:66:00:00:00	Talaris
00:00:67:00:00:00	SOFT * RITE, INC.
00:00:68:00:00:00	Rosemount Controls
00:00:69:00:00:00	SGI
00:00:6A:00:00:00	COMPUTER CONSOLES INC.
00:00:6B:00:00:00	MIPS
00:00:6C:00:00:00	Private
00:00:6D:00:00:00	Case
00:00:6E:00:00:00	Artisoft, Inc.
00:00:6F:00:00:00	Madge Networks Ltd.  Token-ring adapters
00:00:70:00:00:00	HCL LIMITED
00:00:71:00:00:00	ADRA SYSTEMS INC.
00:00:72:00:00:00	MINIWARE TECHNOLOGY
00:00:73:00:00:00	Dupont
00:00:74:00:00:00	RICOH COMPANY LTD.
00:00:75:00:00:00	Bell Northern Research (BNR)
00:00:76:00:00:00	ABEKAS VIDEO SYSTEM
00:00:77:00:00:00	Interphase  [Used in other systems, e.g. MIPS, Motorola]
00:00:78:00:00:00	Labtam Australia
00:00:79:00:00:00	Networth Incorporated [bought by Compaq, used in Netelligent series]
00:00:7A:00:00:00	Ardent
00:00:7B:00:00:00	Research Machines
00:00:7C:00:00:00	AMPERE INCORPORATED
00:00:7D:00:00:00	Cray
00:00:7E:00:00:00	NetFRAME multiprocessor network servers
00:00:7F:00:00:00	Linotype-Hell AG  Linotronic typesetters
00:00:80:00:00:00	Cray Communications (formerly Dowty Network Services) [Also shows as "Harris (3M) (new)" and/or "Imagen(?)" elsewhere]
00:00:81:00:00:00	Synoptics
00:00:82:00:00:00	LECTRA SYSTEMES SA
00:00:83:00:00:00	Tadpole Technology  [had Optical Data Systems which is wrong according to both]
00:00:84:00:00:00	Aquila (?), ADI Systems Inc.(?)
00:00:85:00:00:00	CANON INC.
00:00:86:00:00:00	Gateway Communications Inc. (then Megahertz & now 3com)
00:00:87:00:00:00	Hitachi
00:00:88:00:00:00	Brocade Communications Systems, Inc.
00:00:89:00:00:00	1 Gatorbox
00:00:8A:00:00:00	Datahouse Information Systems
00:00:8B:00:00:00	Infotron
00:00:8C:00:00:00	Alloy Computer Products (Australia) Pty Ltd
00:00:8D:00:00:00	Cryptek Inc.
00:00:8E:00:00:00	Solbourne(?), Jupiter(?) (I've had confirming mail on Solbourne)
00:00:8F:00:00:00	Raytheon
00:00:90:00:00:00	Microcom
00:00:91:00:00:00	ANRITSU CORPORATION
00:00:92:00:00:00	Unisys, Cogent (both reported)
00:00:93:00:00:00	Proteon
00:00:94:00:00:00	1 MAC
00:00:95:00:00:00	Sony/Tektronix
00:00:96:00:00:00	MARCONI ELECTRONICS LTD.
00:00:97:00:00:00	Epoch
00:00:98:00:00:00	Cross Com
00:00:99:00:00:00	Memorex Telex Corporations
00:00:9A:00:00:00	RC COMPUTER A/S
00:00:9B:00:00:00	INFORMATION INTERNATIONAL, INC
00:00:9C:00:00:00	ROLM MIL-SPEC COMPUTERS
00:00:9D:00:00:00	LOCUS COMPUTING CORPORATION
00:00:9E:00:00:00	MARLI S.A.
00:00:9F:00:00:00	Ameristar Technology
00:00:A0:00:00:00	Sanyo Electronics
00:00:A1:00:00:00	MARQUETTE ELECTRIC CO.
00:00:A2:00:00:00	Wellfleet
00:00:A3:00:00:00	NAT
00:00:A4:00:00:00	Acorn
00:00:A5:00:00:00	CSC
00:00:A6:00:00:00	Network General (internal assignment, not for products)
00:00:A7:00:00:00	NCD
00:00:A8:00:00:00	Stratus Computer, Inc.
00:00:A9:00:00:00	Network Systems
00:00:AA:00:00:00	1 Xerox machines
00:00:AB:00:00:00	LOGIC MODELING CORPORATION
00:00:AC:00:00:00	Conware Netzpartner  [had Apollo, claimed incorrect]
00:00:AD:00:00:00	BRUKER INSTRUMENTS INC.
00:00:AE:00:00:00	Dassault Automatismes et Telecommunications
00:00:AF:00:00:00	1 Acquisition Interface Modules (AIM)
00:00:B0:00:00:00	RND (RAD Network Devices)
00:00:B1:00:00:00	Alpha Microsystems Inc.
00:00:B2:00:00:00	TELEVIDEO SYSTEMS, INC.
00:00:B3:00:00:00	Cimlinc
00:00:B4:00:00:00	Edimax
00:00:B5:00:00:00	1 Terminal Servers
00:00:B6:00:00:00	Micro-matic Research
00:00:B7:00:00:00	1 Fastnet
00:00:B8:00:00:00	SEIKOSHA CO., LTD.
00:00:B9:00:00:00	MCDONNELL DOUGLAS COMPUTER SYS
00:00:BA:00:00:00	SIIG, INC.
00:00:BB:00:00:00	TRI-DATA Systems Inc.  Netway products, 3274 emulators
00:00:BC:00:00:00	Allen-Bradley
00:00:BD:00:00:00	MITSUBISHI CABLE COMPANY
00:00:BE:00:00:00	THE NTI GROUP
00:00:BF:00:00:00	SYMMETRIC COMPUTER SYSTEMS
00:00:C0:00:00:00	Western Digital now SMC (Std. Microsystems Corp.)
00:00:C1:00:00:00	Olicom A/S
00:00:C2:00:00:00	INFORMATION PRESENTATION TECH.
00:00:C3:00:00:00	HARRIS CORP COMPUTER SYS DIV
00:00:C4:00:00:00	WATERS DIV. OF MILLIPORE
00:00:C5:00:00:00	Farallon Computing Inc
00:00:C6:00:00:00	HP Intelligent Networks Operation (formerly Eon Systems)
00:00:C7:00:00:00	ARIX CORPORATION
00:00:C8:00:00:00	Altos
00:00:C9:00:00:00	1 Terminal Servers, Print Servers
00:00:CA:00:00:00	LANcity Cable Modems (now owned by BayNetworks)
00:00:CB:00:00:00	COMPU-SHACK ELECTRONIC GMBH
00:00:CC:00:00:00	Densan Co., Ltd.
00:00:CD:00:00:00	Industrial Research Limited
00:00:CE:00:00:00	MEGADATA CORP.
00:00:CF:00:00:00	HAYES MICROCOMPUTER PRODUCTS
00:00:D0:00:00:00	Develcon Electronics, Ltd.
00:00:D1:00:00:00	1 "Nodem" product
00:00:D2:00:00:00	SBE Inc
00:00:D3:00:00:00	Wang Labs
00:00:D4:00:00:00	Puredata
00:00:D5:00:00:00	MICROGNOSIS INTERNATIONAL
00:00:D6:00:00:00	PUNCH LINE HOLDING
00:00:D7:00:00:00	Dartmouth College (NED Router)
00:00:D8:00:00:00	old Novell NE1000's (before about 1987?) (also 3Com)
00:00:D9:00:00:00	NIPPON TELEGRAPH & TELEPHONE
00:00:DA:00:00:00	Atex
00:00:DB:00:00:00	British Telecommunications plc
00:00:DC:00:00:00	HAYES MICROCOMPUTER PRODUCTS
00:00:DD:00:00:00	Gould
00:00:DE:00:00:00	Unigraph
00:00:DF:00:00:00	BELL & HOWELL PUB SYS DIV
00:00:E0:00:00:00	QUADRAM CORP.
00:00:E1:00:00:00	Hitachi
00:00:E2:00:00:00	Acer Counterpoint
00:00:E3:00:00:00	Integrated Micro Products Ltd
00:00:E4:00:00:00	Mips?
00:00:E5:00:00:00	SIGMEX LTD.
00:00:E6:00:00:00	Aptor Produits De Comm Indust
00:00:E7:00:00:00	Star Gate Technologies
00:00:E8:00:00:00	Accton Technology Corporation
00:00:E9:00:00:00	ISICAD, Inc.
00:00:EA:00:00:00	UPNOD AB
00:00:EB:00:00:00	MATSUSHITA COMM. IND. CO. LTD.
00:00:EC:00:00:00	MICROPROCESS
00:00:ED:00:00:00	April
00:00:EE:00:00:00	Network Designers Limited [also KNX Ltd, a former division]
00:00:EF:00:00:00	1 (now owned by ForeSystems)
00:00:F0:00:00:00	Samsung
00:00:F1:00:00:00	MAGNA COMPUTER CORPORATION
00:00:F2:00:00:00	Spider Communications  (Montreal, not Spider Systems)
00:00:F3:00:00:00	Gandalf Data Ltd. - Canada
00:00:F4:00:00:00	Allied Telesis, Inc.
00:00:F5:00:00:00	DIAMOND SALES LIMITED
00:00:F6:00:00:00	Madge
00:00:F7:00:00:00	YOUTH KEEP ENTERPRISE CO LTD
00:00:F8:00:00:00	DEC
00:00:F9:00:00:00	QUOTRON SYSTEMS INC.
00:00:FA:00:00:00	MICROSAGE COMPUTER SYSTEMS INC
00:00:FB:00:00:00	Rechner zur Kommunikation
00:00:FC:00:00:00	Meiko
00:00:FD:00:00:00	High Level Hardware (Orion, UK)
00:00:FE:00:00:00	ANNAPOLIS MICRO SYSTEMS
00:00:FF:00:00:00	Camtec Electronics (UK) Ltd.
00:01:00:00:00:00	EQUIP'TRANS
00:01:01:00:00:00	Private
00:01:02:00:00:00	BBN (Bolt Beranek and Newman, Inc.) internal usage (not registered)
00:01:03:00:00:00	3COM CORPORATION
00:01:04:00:00:00	DVICO Co., Ltd.
00:01:05:00:00:00	Beckhoff Automation GmbH
00:01:06:00:00:00	Tews Datentechnik GmbH
00:01:07:00:00:00	Leiser GmbH
00:01:08:00:00:00	AVLAB Technology, Inc.
00:01:09:00:00:00	Nagano Japan Radio Co., Ltd.
00:01:0A:00:00:00	CIS TECHNOLOGY INC.
00:01:0B:00:00:00	Space CyberLink, Inc.
00:01:0C:00:00:00	System Talks Inc.
00:01:0D:00:00:00	Teledyne DALSA Inc.
00:01:0E:00:00:00	Bri-Link Technologies Co., Ltd
00:01:0F:00:00:00	Brocade Communications Systems, Inc.
00:01:10:00:00:00	Gotham Networks
00:01:11:00:00:00	iDigm Inc.
00:01:12:00:00:00	Shark Multimedia Inc.
00:01:13:00:00:00	OLYMPUS CORPORATION
00:01:14:00:00:00	KANDA TSUSHIN KOGYO CO., LTD.
00:01:15:00:00:00	EXTRATECH CORPORATION
00:01:16:00:00:00	Netspect Technologies, Inc.
00:01:17:00:00:00	Canal +
00:01:18:00:00:00	EZ Digital Co., Ltd.
00:01:19:00:00:00	RTUnet (Australia)
00:01:1A:00:00:00	Hoffmann und Burmeister GbR
00:01:1B:00:00:00	Unizone Technologies, Inc.
00:01:1C:00:00:00	Universal Talkware Corporation
00:01:1D:00:00:00	Centillium Communications
00:01:1E:00:00:00	Precidia Technologies, Inc.
00:01:1F:00:00:00	RC Networks, Inc.
00:01:20:00:00:00	OSCILLOQUARTZ S.A.
00:01:21:00:00:00	Watchguard Technologies, Inc.
00:01:22:00:00:00	Trend Communications, Ltd.
00:01:23:00:00:00	DIGITAL ELECTRONICS CORP.
00:01:24:00:00:00	Acer Incorporated
00:01:25:00:00:00	YAESU MUSEN CO., LTD.
00:01:26:00:00:00	PAC Labs
00:01:27:00:00:00	OPEN Networks Pty Ltd
00:01:28:00:00:00	EnjoyWeb, Inc.
00:01:29:00:00:00	DFI Inc.
00:01:2A:00:00:00	Telematica Sistems Inteligente
00:01:2B:00:00:00	TELENET Co., Ltd.
00:01:2C:00:00:00	Aravox Technologies, Inc.
00:01:2D:00:00:00	Komodo Technology
00:01:2E:00:00:00	PC Partner Ltd.
00:01:2F:00:00:00	Twinhead International Corp
00:01:30:00:00:00	Extreme Networks
00:01:31:00:00:00	Bosch Security Systems, Inc.
00:01:32:00:00:00	Dranetz - BMI
00:01:33:00:00:00	KYOWA Electronic Instruments C
00:01:34:00:00:00	Selectron Systems AG
00:01:35:00:00:00	KDC Corp.
00:01:36:00:00:00	CyberTAN Technology Inc.
00:01:37:00:00:00	IT Farm Corporation
00:01:38:00:00:00	XAVi Technologies Corp.
00:01:39:00:00:00	Point Multimedia Systems
00:01:3A:00:00:00	SHELCAD COMMUNICATIONS, LTD.
00:01:3B:00:00:00	BNA SYSTEMS
00:01:3C:00:00:00	TIW SYSTEMS
00:01:3D:00:00:00	RiscStation Ltd.
00:01:3E:00:00:00	Ascom Tateco AB
00:01:3F:00:00:00	Neighbor World Co., Ltd.
00:01:40:00:00:00	Sendtek Corporation
00:01:41:00:00:00	CABLE PRINT
00:01:42:00:00:00	Cisco Systems, Inc
00:01:43:00:00:00	IEEE 802
00:01:44:00:00:00	EMC Corporation
00:01:45:00:00:00	WINSYSTEMS, INC.
00:01:46:00:00:00	Tesco Controls, Inc.
00:01:47:00:00:00	Zhone Technologies
00:01:48:00:00:00	X-traWeb Inc.
00:01:49:00:00:00	T.D.T. Transfer Data Test GmbH
00:01:4A:00:00:00	Sony Corporation
00:01:4B:00:00:00	Ennovate Networks, Inc.
00:01:4C:00:00:00	Berkeley Process Control
00:01:4D:00:00:00	Shin Kin Enterprises Co., Ltd
00:01:4E:00:00:00	WIN Enterprises, Inc.
00:01:4F:00:00:00	Adtran Inc
00:01:50:00:00:00	Megahertz (now 3com) modem
00:01:51:00:00:00	Ensemble Communications
00:01:52:00:00:00	CHROMATEK INC.
00:01:53:00:00:00	ARCHTEK TELECOM CORPORATION
00:01:54:00:00:00	G3M Corporation
00:01:55:00:00:00	Promise Technology, Inc.
00:01:56:00:00:00	FIREWIREDIRECT.COM, INC.
00:01:57:00:00:00	SYSWAVE CO., LTD
00:01:58:00:00:00	Electro Industries/Gauge Tech
00:01:59:00:00:00	S1 Corporation
00:01:5A:00:00:00	Digital Video Broadcasting
00:01:5B:00:00:00	ITALTEL S.p.A/RF-UP-I
00:01:5C:00:00:00	CADANT INC.
00:01:5D:00:00:00	Oracle Corporation
00:01:5E:00:00:00	BEST TECHNOLOGY CO., LTD.
00:01:5F:00:00:00	DIGITAL DESIGN GmbH
00:01:60:00:00:00	ELMEX Co., LTD.
00:01:61:00:00:00	Meta Machine Technology
00:01:62:00:00:00	Cygnet Technologies, Inc.
00:01:63:00:00:00	NDC (National Datacomm Corporation)
00:01:64:00:00:00	Cisco Systems, Inc
00:01:65:00:00:00	AirSwitch Corporation
00:01:66:00:00:00	TC GROUP A/S
00:01:67:00:00:00	HIOKI E.E. CORPORATION
00:01:68:00:00:00	W&G (Wandel & Goltermann) [incorrect according to W&G]
00:01:69:00:00:00	Celestix Networks Pte Ltd.
00:01:6A:00:00:00	Alitec
00:01:6B:00:00:00	LightChip, Inc.
00:01:6C:00:00:00	Foxconn
00:01:6D:00:00:00	CarrierComm Inc.
00:01:6E:00:00:00	Conklin Corporation
00:01:6F:00:00:00	Inkel Corp.
00:01:70:00:00:00	ESE Embedded System Engineer'g
00:01:71:00:00:00	Allied Data Technologies
00:01:72:00:00:00	TechnoLand Co., LTD.
00:01:73:00:00:00	Amcc
00:01:74:00:00:00	CyberOptics Corporation
00:01:75:00:00:00	Radiant Communications Corp.
00:01:76:00:00:00	Orient Silver Enterprises
00:01:77:00:00:00	Edsl
00:01:78:00:00:00	MARGI Systems, Inc.
00:01:79:00:00:00	WIRELESS TECHNOLOGY, INC.
00:01:7A:00:00:00	Chengdu Maipu Electric Industrial Co., Ltd.
00:01:7B:00:00:00	Heidelberger Druckmaschinen AG
00:01:7C:00:00:00	AG-E GmbH
00:01:7D:00:00:00	ThermoQuest
00:01:7E:00:00:00	ADTEK System Science Co., Ltd.
00:01:7F:00:00:00	Experience Music Project
00:01:80:00:00:00	AOpen, Inc.
00:01:81:00:00:00	Nortel Networks
00:01:82:00:00:00	DICA TECHNOLOGIES AG
00:01:83:00:00:00	ANITE TELECOMS
00:01:84:00:00:00	SIEB & MEYER AG
00:01:85:00:00:00	Hitachi Aloka Medical, Ltd.
00:01:86:00:00:00	Uwe Disch
00:01:87:00:00:00	I2SE GmbH
00:01:88:00:00:00	LXCO Technologies ag
00:01:89:00:00:00	Refraction Technology, Inc.
00:01:8A:00:00:00	ROI COMPUTER AG
00:01:8B:00:00:00	NetLinks Co., Ltd.
00:01:8C:00:00:00	Mega Vision
00:01:8D:00:00:00	AudeSi Technologies
00:01:8E:00:00:00	Logitec Corporation
00:01:8F:00:00:00	Kenetec, Inc.
00:01:90:00:00:00	Smk-M
00:01:91:00:00:00	SYRED Data Systems
00:01:92:00:00:00	Texas Digital Systems
00:01:93:00:00:00	Hanbyul Telecom Co., Ltd.
00:01:94:00:00:00	Capital Equipment Corporation
00:01:95:00:00:00	Sena Technologies, Inc.
00:01:96:00:00:00	Cisco Systems, Inc
00:01:97:00:00:00	Cisco Systems, Inc
00:01:98:00:00:00	Darim Vision
00:01:99:00:00:00	HeiSei Electronics
00:01:9A:00:00:00	LEUNIG GmbH
00:01:9B:00:00:00	Kyoto Microcomputer Co., Ltd.
00:01:9C:00:00:00	JDS Uniphase Inc.
00:01:9D:00:00:00	E-Control Systems, Inc.
00:01:9E:00:00:00	ESS Technology, Inc.
00:01:9F:00:00:00	Readynet
00:01:A0:00:00:00	Infinilink Corporation
00:01:A1:00:00:00	Mag-Tek, Inc.
00:01:A2:00:00:00	Logical Co., Ltd.
00:01:A3:00:00:00	GENESYS LOGIC, INC.
00:01:A4:00:00:00	Microlink Corporation
00:01:A5:00:00:00	Nextcomm, Inc.
00:01:A6:00:00:00	Scientific-Atlanta Arcodan A/S
00:01:A7:00:00:00	UNEX TECHNOLOGY CORPORATION
00:01:A8:00:00:00	Welltech Computer Co., Ltd.
00:01:A9:00:00:00	BMW AG
00:01:AA:00:00:00	Airspan Communications, Ltd.
00:01:AB:00:00:00	Main Street Networks
00:01:AC:00:00:00	Sitara Networks, Inc.
00:01:AD:00:00:00	Coach Master International  d.b.a. CMI Worldwide, Inc.
00:01:AE:00:00:00	Trex Enterprises
00:01:AF:00:00:00	Artesyn Embedded Technologies
00:01:B0:00:00:00	Fulltek Technology Co., Ltd.
00:01:B1:00:00:00	General Bandwidth
00:01:B2:00:00:00	Digital Processing Systems, Inc.
00:01:B3:00:00:00	Precision Electronic Manufacturing
00:01:B4:00:00:00	Wayport, Inc.
00:01:B5:00:00:00	Turin Networks, Inc.
00:01:B6:00:00:00	SAEJIN T&M Co., Ltd.
00:01:B7:00:00:00	Centos, Inc.
00:01:B8:00:00:00	Netsensity, Inc.
00:01:B9:00:00:00	SKF Condition Monitoring
00:01:BA:00:00:00	IC-Net, Inc.
00:01:BB:00:00:00	Frequentis
00:01:BC:00:00:00	Brains Corporation
00:01:BD:00:00:00	Peterson Electro-Musical Products, Inc.
00:01:BE:00:00:00	Gigalink Co., Ltd.
00:01:BF:00:00:00	Teleforce Co., Ltd.
00:01:C0:00:00:00	CompuLab, Ltd.
00:01:C1:00:00:00	Vitesse Semiconductor Corporation
00:01:C2:00:00:00	ARK Research Corp.
00:01:C3:00:00:00	Acromag, Inc.
00:01:C4:00:00:00	NeoWave, Inc.
00:01:C5:00:00:00	Simpler Networks
00:01:C6:00:00:00	Quarry Technologies
00:01:C7:00:00:00	Cisco Systems, Inc
00:01:C8:00:00:00	Thomas Conrad Corp.
00:01:C9:00:00:00	Cisco Systems, Inc
00:01:CA:00:00:00	Geocast Network Systems, Inc.
00:01:CB:00:00:00	Evr
00:01:CC:00:00:00	Japan Total Design Communication Co., Ltd.
00:01:CD:00:00:00	Artem
00:01:CE:00:00:00	Custom Micro Products, Ltd.
00:01:CF:00:00:00	Alpha Data Parallel Systems, Ltd.
00:01:D0:00:00:00	VitalPoint, Inc.
00:01:D1:00:00:00	CoNet Communications, Inc.
00:01:D2:00:00:00	inXtron, Inc.
00:01:D3:00:00:00	PAXCOMM, Inc.
00:01:D4:00:00:00	Leisure Time, Inc.
00:01:D5:00:00:00	HAEDONG INFO & COMM CO., LTD
00:01:D6:00:00:00	manroland AG
00:01:D7:00:00:00	F5 Networks, Inc.
00:01:D8:00:00:00	Teltronics, Inc.
00:01:D9:00:00:00	Sigma, Inc.
00:01:DA:00:00:00	WINCOMM Corporation
00:01:DB:00:00:00	Freecom Technologies GmbH
00:01:DC:00:00:00	Activetelco
00:01:DD:00:00:00	Avail Networks
00:01:DE:00:00:00	Trango Systems, Inc.
00:01:DF:00:00:00	ISDN Communications, Ltd.
00:01:E0:00:00:00	Fast Systems, Inc.
00:01:E1:00:00:00	Kinpo Electronics, Inc.
00:01:E2:00:00:00	Ando Electric Corporation
00:01:E3:00:00:00	Siemens AG
00:01:E4:00:00:00	Sitera, Inc.
00:01:E5:00:00:00	Supernet, Inc.
00:01:E6:00:00:00	Hewlett Packard
00:01:E7:00:00:00	Hewlett Packard
00:01:E8:00:00:00	Force10 Networks, Inc.
00:01:E9:00:00:00	Litton Marine Systems B.V.
00:01:EA:00:00:00	Cirilium Corp.
00:01:EB:00:00:00	C-COM Corporation
00:01:EC:00:00:00	Ericsson Group
00:01:ED:00:00:00	SETA Corp.
00:01:EE:00:00:00	Comtrol Europe, Ltd.
00:01:EF:00:00:00	Camtel Technology Corp.
00:01:F0:00:00:00	Tridium, Inc.
00:01:F1:00:00:00	Innovative Concepts, Inc.
00:01:F2:00:00:00	Mark of the Unicorn, Inc.
00:01:F3:00:00:00	QPS, Inc.
00:01:F4:00:00:00	Enterasys
00:01:F5:00:00:00	ERIM S.A.
00:01:F6:00:00:00	Association of Musical Electronics Industry
00:01:F7:00:00:00	Image Display Systems, Inc.
00:01:F8:00:00:00	TEXIO TECHNOLOGY CORPORATION
00:01:F9:00:00:00	TeraGlobal Communications Corp.
00:01:FA:00:00:00	Compaq
00:01:FB:00:00:00	DoTop Technology, Inc.
00:01:FC:00:00:00	Keyence Corporation
00:01:FD:00:00:00	Digital Voice Systems, Inc.
00:01:FE:00:00:00	DIGITAL EQUIPMENT CORPORATION
00:01:FF:00:00:00	Data Direct Networks, Inc.
00:02:00:00:00:00	Net & Sys Co., Ltd.
00:02:01:00:00:00	IFM Electronic gmbh
00:02:02:00:00:00	Amino Communications, Ltd.
00:02:03:00:00:00	Woonsang Telecom, Inc.
00:02:04:00:00:00	Novell
00:02:05:00:00:00	Hamilton (Sparc Clones)
00:02:06:00:00:00	Telital R&D Denmark A/S
00:02:07:00:00:00	VisionGlobal Network Corp.
00:02:08:00:00:00	Unify Networks, Inc.
00:02:09:00:00:00	Shenzhen SED Information Technology Co., Ltd.
00:02:0A:00:00:00	Gefran Spa
00:02:0B:00:00:00	Native Networks, Inc.
00:02:0C:00:00:00	Metro-Optix
00:02:0D:00:00:00	Micronpc.com
00:02:0E:00:00:00	ECI Telecom Ltd.
00:02:0F:00:00:00	Aatr
00:02:10:00:00:00	Fenecom
00:02:11:00:00:00	Nature Worldwide Technology Corp.
00:02:12:00:00:00	SierraCom
00:02:13:00:00:00	S.D.E.L.
00:02:14:00:00:00	Dtvro
00:02:15:00:00:00	Cotas Computer Technology A/B
00:02:16:00:00:00	ESI (Extended Systems, Inc) print servers
00:02:17:00:00:00	Cisco Systems, Inc
00:02:18:00:00:00	Advanced Scientific Corp
00:02:19:00:00:00	Paralon Technologies
00:02:1A:00:00:00	Zuma Networks
00:02:1B:00:00:00	Kollmorgen-Servotronix
00:02:1C:00:00:00	Network Elements, Inc.
00:02:1D:00:00:00	Data General Communication Ltd.
00:02:1E:00:00:00	SIMTEL S.R.L.
00:02:1F:00:00:00	Aculab PLC
00:02:20:00:00:00	CANON FINETECH INC.
00:02:21:00:00:00	DSP Application, Ltd.
00:02:22:00:00:00	Chromisys, Inc.
00:02:23:00:00:00	Clicktv
00:02:24:00:00:00	C-Cor
00:02:25:00:00:00	One Stop Systems
00:02:26:00:00:00	XESystems, Inc.
00:02:27:00:00:00	ESD Electronic System Design GmbH
00:02:28:00:00:00	Necsom, Ltd.
00:02:29:00:00:00	Adtec Corporation
00:02:2A:00:00:00	Asound Electronic
00:02:2B:00:00:00	SAXA, Inc.
00:02:2C:00:00:00	ABB Bomem, Inc.
00:02:2D:00:00:00	Agere Systems
00:02:2E:00:00:00	TEAC Corp. R& D
00:02:2F:00:00:00	P-Cube, Ltd.
